date,timestamp,n_subbands_found,n_subbands_expected,is_complete,size_bytes,has_ms
2026-01-25,2026-01-25T00:00:10,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:05:19,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:10:28,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:15:38,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:25:41,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:32:36,14,16,False,2034880400,False
2026-01-25,2026-01-25T00:37:45,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:42:54,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:48:04,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:53:13,16,16,True,2325577600,False
2026-01-25,2026-01-25T00:58:22,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:03:31,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:08:41,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:13:50,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:18:59,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:29:03,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:35:57,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:41:06,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:46:16,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:51:25,16,16,True,2325577600,False
2026-01-25,2026-01-25T01:56:34,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:01:43,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:06:53,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:12:02,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:17:11,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:22:20,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:32:25,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:39:17,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:44:26,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:49:36,16,16,True,2325577600,False
2026-01-25,2026-01-25T02:54:45,16,16,True,2325577600,False
